path,dataset_source,class_label,width,height,aspect_ratio,format,file_size_bytes,md5_hash,sha256,quality_score,phash,quality_flag,blur_score,resolution_ok,aspect_ratio_ok,cluster_id,split,export_path
data_sources/ai_edited/DEFACTO_Inpainting/0_000000000322.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,481,1.3306,TIFF,615052,61b7d42cc34387a408f030e8e5c26364,cbe4032b290a8720faf9b9c04e5c114a06b85114490d5ad521960a52da16629f,1.0,92329735e5994b4b,ok,475.3980651068632,True,True,cluster_01082,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000000322_1.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000000531.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,543978,c5ca7d6c846e3bf5a7f40ff3e0a35e90,5c14ce635be1ea8c4e392e079e9c92a9b1393d78b38ce45d64852904d3467886,1.0,d4a33946b4933d4e,ok,1577.6050724789832,True,True,cluster_04380,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000000531.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000005105.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,827522,350796f09e427bdf23a6fa361ecdbdfb,e19300c3587eb1bfd2a9155dc08887549eca916ab1a078cb07eed96b489adeb8,1.0,aba355b4bc7cc103,ok,3883.108996032672,True,True,cluster_01376,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000005105_1.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000008119.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,935102,8b3e483f7caa8ac7a1c93ea7c2152e1a,299a60ff111d98c3f7f533b029130f1a84367eb9a1cbad7f498ba37f58958e3c,1.0,85345c5c4d597b27,ok,16877.871487721717,True,True,cluster_01150,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000008119_1.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000009057.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,519714,78efd4db67ca696c52e664fcf5b3f76c,e63353863c317c5a4a65ac9cfeb909e4204a4245fb03ff209ca87d87de0ea5bd,1.0,85ea1479cbb4694b,ok,869.1090426037154,True,True,cluster_04643,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000009057.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000010041.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,506578,6a8dfb1ea091fafb299ddded8bf134d8,13ef4f8f3cd3f8a3efe2875c26473b95311a399091cd24b22d73af742c4d75a5,1.0,cb2b15d2792f12d2,ok,1439.2057936719152,True,True,cluster_04750,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000010041.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000010386.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,670030,80080f5e1282eab75d07d91ad7bf45c9,e685c17874507cb55211bf60a77f5b9e939e3373cfb086dba1f7b534d6044451,1.0,ef98e6465126fc11,ok,5455.800832259751,True,True,cluster_02716,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000010386.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000010779.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,532,640,0.8313,TIFF,652964,edb17c3059388c71b852b7ae40607a3b,8e7bebdcc116044ce0500276639180a452c609b4ecaaf7e495aa25146758dee3,1.0,ac83975260f5aa8f,ok,452.847834651252,True,True,cluster_00588,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000010779.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000012069.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,516,640,0.8063,TIFF,676034,9718348168c061b15adb95721a8a4716,1f95facaacf9f130e0472af6e48f0baf31c3d430b3a548e921877e27c501eee7,1.0,cc5cf263e739098c,ok,1710.9441354078988,True,True,cluster_00669,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000012069.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000014502.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,480,1.3333,TIFF,1017198,009f7d61bdaedbe8d532cfbcf8c58bbc,dc4b3f53a1004a699509709dc8a9b8026b3ab4f851e5013169d69f57e66ebc52,1.0,8776386bc516b44e,ok,5027.5549862563985,True,True,cluster_01123,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000014502.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000014575.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,640,1.0,TIFF,517346,e49ce837430e809dff1cdaf15a0765a8,c99d94261ebfa470d60d04789914ee5f17a092ea05a2ce00ea4d2b5ffc14dbcd,1.0,896b966db846946b,ok,123.187009272331,True,True,cluster_00120,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000014575.tif
data_sources/ai_edited/DEFACTO_Inpainting/0_000000016112.tif,data_sources/ai_edited/DEFACTO_Inpainting,ai_edited,640,506,1.2648,TIFF,427784,ce71346e7aa34f0e79a64abe21de3d8e,35a2dc4cf19d7e6985169e926eded78eb9b478bf1cfffc641d1b5f10bed9663e,1.0,c148c8e0b5bddd9a,ok,1919.0789885588197,True,True,cluster_00800,test,/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/0_000000016112.tif
