manipulated_export_path,manipulated_split,source,original_id,original_corpus,original_already_in_build,note
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,test,CASIA,nat00059,CASIA v2 authentic (Au/),False,donor=nat10139;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_M_N_ind00091_ind00091_10647.jpg,test,CASIA,ind00091,CASIA v2 authentic (Au/),False,donor=ind00091;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_M_N_ind00091_ind00091_10648.jpg,test,CASIA,ind00091,CASIA v2 authentic (Au/),False,donor=ind00091;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_M_N_pla00042_pla00042_10976.jpg,test,CASIA,pla00042,CASIA v2 authentic (Au/),False,donor=pla00042;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,test,CASIA,txt00050,CASIA v2 authentic (Au/),False,donor=txt00049;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,test,CASIA,ind00089,CASIA v2 authentic (Au/),False,donor=ind00018;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_B_txt00055_txt00047_11328_1.jpg,test,CASIA,txt00047,CASIA v2 authentic (Au/),False,donor=txt00055;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_N_cha10122_nat10124_12167.jpg,test,CASIA,nat10124,CASIA v2 authentic (Au/),False,donor=cha10122;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_N_cha10122_nat10139_12166.jpg,test,CASIA,nat10139,CASIA v2 authentic (Au/),False,donor=cha10122;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_N_nat00035_nat00035_00649.tif,test,CASIA,nat00035,CASIA v2 authentic (Au/),False,donor=nat00035;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_N_nat00060_nat00060_00667.tif,test,CASIA,nat00060,CASIA v2 authentic (Au/),False,donor=nat00060;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_N_nat00095_ani00017_10219.tif,test,CASIA,ani00017,CASIA v2 authentic (Au/),False,donor=nat00095;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CNN_S_N_sec00042_ani00070_10541.tif,test,CASIA,ani00070,CASIA v2 authentic (Au/),False,donor=sec00042;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRD_M_N_ind00091_ind00091_10645.jpg,test,CASIA,ind00091,CASIA v2 authentic (Au/),False,donor=ind00091;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRD_S_N_ani00028_ani00058_00148.tif,test,CASIA,ani00058,CASIA v2 authentic (Au/),False,donor=ani00028;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRD_S_N_ind00074_cha00049_00474.tif,test,CASIA,cha00049,CASIA v2 authentic (Au/),False,donor=ind00074;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRD_S_N_ind00084_ind00024_00481.tif,test,CASIA,ind00024,CASIA v2 authentic (Au/),False,donor=ind00084;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRD_S_N_sec00003_sec00007_00023.tif,test,CASIA,sec00007,CASIA v2 authentic (Au/),False,donor=sec00003;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRD_S_O_ani10111_ani10103_10635.jpg,test,CASIA,ani10103,CASIA v2 authentic (Au/),False,donor=ani10111;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_B_ani00046_ani00001_10100.tif,test,CASIA,ani00001,CASIA v2 authentic (Au/),False,donor=ani00046;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_ani00069_ani00041_10035.tif,test,CASIA,ani00041,CASIA v2 authentic (Au/),False,donor=ani00069;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_ani10118_sec00098_11619_1.jpg,test,CASIA,sec00098,CASIA v2 authentic (Au/),False,donor=ani10118;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_arc00045_arc00046_10084.tif,test,CASIA,arc00046,CASIA v2 authentic (Au/),False,donor=arc00045;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_arc00045_arc00071_10087.tif,test,CASIA,arc00071,CASIA v2 authentic (Au/),False,donor=arc00045;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_arc00071_arc00045_10085.tif,test,CASIA,arc00045,CASIA v2 authentic (Au/),False,donor=arc00071;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_arc00073_arc00072_10267.tif,test,CASIA,arc00072,CASIA v2 authentic (Au/),False,donor=arc00073;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_arc00088_arc00064_10394.tif,test,CASIA,arc00064,CASIA v2 authentic (Au/),False,donor=arc00088;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_art00058_art00049_10529.tif,test,CASIA,art00049,CASIA v2 authentic (Au/),False,donor=art00058;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_art10113_cha00067_11650.jpg,test,CASIA,cha00067,CASIA v2 authentic (Au/),False,donor=art10113;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_cha00060_cha00040_11678.jpg,test,CASIA,cha00040,CASIA v2 authentic (Au/),False,donor=cha00060;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_cha10137_art00021_12210_1.jpg,test,CASIA,art00021,CASIA v2 authentic (Au/),False,donor=cha10137;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_cha10162_nat10123_12253_1.jpg,test,CASIA,nat10123,CASIA v2 authentic (Au/),False,donor=cha10162;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_cha10166_nat10123_12273_1.jpg,test,CASIA,nat10123,CASIA v2 authentic (Au/),False,donor=cha10166;host_unconfirmed
/home/dheirav/Code/Deepfake_Detection/deepfake-project/dataset_builder/test/ai_edited/Tp_D_CRN_M_N_nat00084_nat00033_10072.tif,test,CASIA,nat00033,CASIA v2 authentic (Au/),False,donor=nat00084;host_unconfirmed
